2023-04-09,FXO,2023-04-09,BRV,3025,0,2017
2023-10-16,GXC,2023-10-16,ACG,2252,0,2016
2023-12-02,YQW,2023-12-02,QDT,2780,0,2016
2023-06-13,HPW,2023-06-13,HWZ,833,1,2017
2023-12-30,PWS,2023-12-30,NYL,523,0,2016
2023-09-01,ZSX,2023-09-01,AWB,3196,0,2017
2023-08-09,ZXF,2023-08-09,VTQ,2566,1,2017
2023-04-29,BUR,2023-04-29,MHS,535,0,2016
2023-03-23,FFX,2023-03-23,FLW,2750,1,2017
2023-09-01,GLH,2023-09-01,KJJ,2771,1,2016
2023-04-20,SMB,2023-04-20,IUV,2372,0,2017
2023-04-09,VEL,2023-04-09,AWL,2788,0,2017
2023-07-15,YBM,2023-07-15,PPX,1668,1,2016
2023-07-24,NFW,2023-07-24,YTX,2078,1,2017
2023-06-06,QKM,2023-06-06,UMK,3438,0,2017
2023-07-10,BRV,2023-07-10,GKM,2566,0,2017
2023-04-28,UOH,2023-04-28,NGW,3299,1,2016
2023-02-09,YVQ,2023-02-09,LBZ,1011,1,2017
2023-03-07,VSK,2023-03-07,PPX,2164,1,2017
2023-07-11,IOI,2023-07-11,FWQ,61,1,2016
2023-08-29,EBJ,2023-08-29,HPW,2916,1,2016
2023-05-24,LYQ,2023-05-24,LQA,337,0,2017
2023-09-22,YZV,2023-09-22,BTF,929,0,2016
2023-07-18,GDR,2023-07-18,YAW,1130,0,2017
2023-03-15,FLW,2023-03-15,COD,698,0,2016
2023-01-29,GDR,2023-01-29,SUV,2946,0,2017
2023-03-10,CPA,2023-03-10,GDR,2064,1,2016
2023-07-12,GCU,2023-07-12,MCK,963,0,2017
2023-04-01,KIJ,2023-04-01,SMB,303,0,2017
2023-10-08,YLV,2023-10-08,WWC,884,1,2017
2023-05-22,WLA,2023-05-22,HOP,1094,0,2016
2023-10-07,RDK,2023-10-07,OAD,1379,1,2016
2023-10-29,UUN,2023-10-29,PWS,2880,0,2017
2023-07-04,SOI,2023-07-04,YAW,747,0,2016
2023-04-03,HMO,2023-04-03,IUV,135,1,2017
2023-12-06,JIC,2023-12-06,IRX,2224,0,2017
2023-08-12,YZV,2023-08-12,QME,2634,1,2016
2023-12-30,KIJ,2023-12-30,DRO,2006,0,2016
2023-09-05,BWH,2023-09-05,BDU,3492,1,2017
2023-04-14,BYV,2023-04-14,EYL,83,0,2017
2023-11-24,ZMP,2023-11-24,GMM,3249,1,2017
2023-08-24,DRO,2023-08-24,ZXF,2992,0,2016
2023-07-25,AGC,2023-07-25,YAW,373,0,2016
2023-01-18,FPW,2023-01-18,FIY,3477,0,2016
2023-09-17,TIB,2023-09-17,VDP,3276,0,2016
