QWG,ESW7CHKLA2,-55.311395,-24.939872,2016
QWG,ESW7CHKLA2,-55.311395,-24.939872,2017
QRS,UO0K6VXT5P,0.779944,-167.654262,2016
QRS,UO0K6VXT5P,0.779944,-167.654262,2017
PFJ,YZ3LQY3O6P,-28.221947,-141.649862,2016
PFJ,YZ3LQY3O6P,-28.221947,-141.649862,2017
BMP,1DSCRLH9WP,70.510544,-114.91025,2016
BMP,1DSCRLH9WP,70.510544,-114.91025,2017
QEK,QSIG0H4OPH,-71.21505,-88.967734,2016
QEK,QSIG0H4OPH,-71.21505,-88.967734,2017
TTX,VJXDUML1G3,-29.784362,82.898702,2016
TTX,VJXDUML1G3,-29.784362,82.898702,2017
JAY,1BUMNGNOTG,63.61301,25.615535,2016
JAY,1BUMNGNOTG,63.61301,25.615535,2017
OHA,5RX6TWVRL5,15.677248,-16.192485,2016
OHA,5RX6TWVRL5,15.677248,-16.192485,2017
SPA,E6ZLU6KUPB,-87.093699,-131.391428,2016
SPA,E6ZLU6KUPB,-87.093699,-131.391428,2017
YRQ,FKO1ZTQHNX,-10.114877,-86.975362,2016
YRQ,FKO1ZTQHNX,-10.114877,-86.975362,2017
GRY,CCF62CDOE7,50.728006,108.912831,2016
GRY,CCF62CDOE7,50.728006,108.912831,2017
WVR,Q5PWSJD4VW,-33.570321,-46.089108,2016
WVR,Q5PWSJD4VW,-33.570321,-46.089108,2017
VYN,94ISGX5OHB,-71.278368,-60.889235,2016
VYN,94ISGX5OHB,-71.278368,-60.889235,2017
JIS,M01KEG98JU,27.374017,2.98376,2016
JIS,M01KEG98JU,27.374017,2.98376,2017
UAE,3ZCBT39I0Z,-62.096998,126.0658,2016
UAE,3ZCBT39I0Z,-62.096998,126.0658,2017
NDF,QA5W3R7GL5,79.230955,154.032565,2016
NDF,QA5W3R7GL5,79.230955,154.032565,2017
IZU,BCXUYLZ529,45.967401,3.695309,2016
IZU,BCXUYLZ529,45.967401,3.695309,2017
NPL,ORSECJQS5G,29.090459,-83.303876,2016
NPL,ORSECJQS5G,29.090459,-83.303876,2017
NDG,6LBETXN2FC,67.938957,142.569941,2016
NDG,6LBETXN2FC,67.938957,142.569941,2017
AOJ,R6L1BMAWZ4,-35.805333,-99.313872,2016
AOJ,R6L1BMAWZ4,-35.805333,-99.313872,2017
FQS,V7LIGFWBS2,-80.767892,-103.305891,2016
FQS,V7LIGFWBS2,-80.767892,-103.305891,2017
WWX,A2DNGFEUL3,87.716154,130.79613,2016
WWX,A2DNGFEUL3,87.716154,130.79613,2017
QAY,KMPGCHL9IF,6.197436,120.244987,2016
QAY,KMPGCHL9IF,6.197436,120.244987,2017
MOZ,M3K4FGB3IQ,83.97091,163.11452,2016
MOZ,M3K4FGB3IQ,83.97091,163.11452,2017
SLV,7NLIAB3O53,6.006441,-162.34256,2016
SLV,7NLIAB3O53,6.006441,-162.34256,2017
CBR,Z8R11LK1DP,-9.014108,-23.046836,2016
CBR,Z8R11LK1DP,-9.014108,-23.046836,2017
ZNP,NH1EATZK44,-70.710841,151.25911,2016
ZNP,NH1EATZK44,-70.710841,151.25911,2017
UIU,7EWGPNNRNH,-2.88744,-112.26035,2016
UIU,7EWGPNNRNH,-2.88744,-112.26035,2017
RUU,HY0L14JUZ1,46.598354,-69.825193,2016
RUU,HY0L14JUZ1,46.598354,-69.825193,2017
XDL,YIPIUDJZHQ,85.258908,-42.940302,2016
XDL,YIPIUDJZHQ,85.258908,-42.940302,2017
IHG,C0VK9NY925,4.427933,-138.784859,2016
IHG,C0VK9NY925,4.427933,-138.784859,2017
CJC,1ZFP8VE27U,78.686845,11.815783,2016
CJC,1ZFP8VE27U,78.686845,11.815783,2017
BUL,KVQR5KCTFJ,-54.11137,-125.427024,2016
BUL,KVQR5KCTFJ,-54.11137,-125.427024,2017
BRG,P7SB77PD1J,-16.864795,137.855241,2016
